,city,location,restaurant_name,res_speed,res_service,res_flavour
261,ankara,çankaya,antakya tost evi,9.1,9.2,9.2
262,ankara,etimesgut,saka su,9.7,9.8,9.8
263,ankara,kurtuluş,alem kafe,9.5,9.3,9.1
264,ankara,mamak,yasmin sofrası,9.3,9.2,9.2
265,ankara,batıkent,cemre pide & kebap,9.5,9.4,9.3
266,ankara,beştepe,zerdali,9.4,9.5,9.2
267,ankara,çankaya,meşhur adıyaman çiğ köftecisi ahmet aybak,9.4,9.4,9.1
268,ankara,çankaya,masabaşı kebapçısı,9.5,9.5,9.4
269,ankara,yenimahalle,asım usta metrelik pideler,9.3,9.2,9.1
270,ankara,sincan,komagene etsiz çiğ köfte,9.6,9.4,9.3
271,ankara,çankaya,acıktım,9.3,9.3,9.3
272,ankara,çankaya,burger make,9.3,9.6,9.3
273,ankara,demetevler,başak kır pidesi,9.3,9.3,9.3
274,ankara,etimesgut,pizza time,9.4,9.3,9.2
275,ankara,çankaya,arquet burger & fries,9.5,9.6,9.3
276,ankara,çankaya,mangalcı yılmaz,9.5,9.3,9.1
277,ankara,aşağı ayrancı,hayat su,10.0,9.4,10.0
278,ankara,sincan,adıyaman çiğköfte,9.4,9.3,9.5
279,ankara,etimesgut,saraylı tatlıcızadem,9.2,9.4,9.1
280,ankara,keçiören,meşhur adıyaman çiğ köftecisi ömer aybak,9.5,9.5,9.3
281,ankara,çankaya,müjgan,9.8,9.6,9.5
282,ankara,etimesgut,adanus mangal & dürüm,9.5,9.3,9.1
283,ankara,yıldız,aygır burger,9.2,9.3,9.2
284,ankara,çankaya,mama's burger,9.6,9.6,9.5
285,ankara,çankaya,tarihi adıyaman çiğ köftecisi,9.2,9.4,9.1
286,ankara,yıldız,that’s burger,9.7,9.6,9.3
287,ankara,çankaya,güllüoğlu,9.1,9.2,9.1
288,ankara,mamak,full pizza,9.1,9.2,9.1
289,ankara,seyranbağları,komagene etsiz çiğ köfte,9.1,9.4,9.2
290,ankara,batıkent,nefis közde piliç,9.2,9.1,9.2
291,ankara,çankaya,bay baget sandwich,9.3,9.1,9.1
292,ankara,etimesgut,et burger,9.4,9.3,9.2
293,ankara,yenimahalle,hangar pide & kebap,9.4,9.4,9.1
294,ankara,çankaya,meşhur adıyaman çiğ köftecisi bayram usta,9.7,9.6,9.4
295,ankara,yıldız,eylül döner,9.5,9.5,9.4
296,ankara,demetevler,hamur house,9.5,9.6,9.3
297,ankara,yukarı ayrancı,pınar su,9.5,9.9,9.9
298,ankara,çankaya,zeliha boşnak mutfağı & böreği,9.5,9.5,9.5
299,ankara,etimesgut,buzdağı su,10.0,10.0,10.0
300,ankara,tandoğan,meşhur cengiz yıldırım aspava,9.6,9.3,9.4
301,ankara,mustafa kemal mah.,etna pizzeria & restaurant,9.4,9.3,9.3
302,ankara,keçiören,ayvaz su,9.1,9.5,9.6
303,ankara,tunalı,pilavcı bekir usta,9.6,9.6,9.5
304,ankara,çayyolu,meşhur adıyaman çiğ köftecisi ömer aybak,9.1,9.2,9.1
305,ankara,keçiören,şakayık dürüm,9.2,9.1,9.1
306,ankara,çankaya,the italian cut pizza,9.3,9.2,9.2
307,ankara,etimesgut,osmanoğulları pide & kebap,9.4,9.3,9.1
308,ankara,çankaya,komagene etsiz çiğ köfte,9.3,9.1,9.2
309,ankara,çankaya,jimmy the burger,9.2,9.3,9.2
310,ankara,batıkent,bakermill burgershop,9.6,9.3,9.2
311,ankara,kocatepe,cafe kıraç,9.1,9.1,9.1
312,ankara,eryaman evleri,çorba 7/24 & izgara,9.4,9.4,9.2
313,ankara,çankaya,atom ayvalık & kumru,9.4,9.3,9.1
314,ankara,yenimahalle,komagene etsiz çiğ köfte,9.1,9.1,9.1
315,ankara,yenimahalle,space burger,9.5,9.5,9.3
316,ankara,yenimahalle,baykuş fast food,9.7,9.5,9.4
317,ankara,mamak,badempınarı su,9.6,9.7,9.5
318,ankara,emek,meşhur gülçimen aspava,9.3,9.1,9.1
319,ankara,100. yıl,javsu,9.9,9.9,9.9
320,ankara,çankaya,antep şiş,9.5,9.3,9.2
321,ankara,çankaya,kumpirevi,9.2,9.3,9.2
322,ankara,emek,buzdağı su,9.4,9.7,9.8
323,ankara,tunalı,bay baget sandwich,9.7,9.5,9.4
324,ankara,etimesgut,antep ateşi pide & lahmacun & kebap,9.4,9.3,9.2
325,ankara,balgat,meşhur adıyaman çiğ köftecisi ahmet aybak,9.6,9.4,9.1
326,ankara,pursaklar,meşhur adıyaman çiğ köftecisi bayram usta,9.7,9.8,9.7
327,ankara,yenimahalle,bosporus pizza & burger,9.7,9.7,9.9
328,ankara,tunalı,red et,9.2,9.3,9.2
329,ankara,yenimahalle,cajun corner,9.3,9.2,9.3
330,ankara,keçiören,komagene etsiz çiğ köfte,9.3,9.3,9.1
331,ankara,sincan,bi çorba ev yemekleri,9.4,9.3,9.2
332,ankara,sincan,javsu,9.5,9.6,9.8
333,ankara,altındağ,komagene etsiz çiğ köfte,9.6,9.5,9.3
334,ankara,çankaya,çiğköfteci ömer usta,9.4,9.4,9.3
335,ankara,çankaya,sweetish waffles & crepes,9.6,9.5,9.3
336,ankara,emek,casa della pizza & burger,9.2,9.4,9.2
337,ankara,çankaya,white point cajun,9.2,9.3,9.1
338,ankara,çankaya,fuska su,9.3,9.7,9.7
