,city,location,restaurant_name,menu,price
27182,ankara,çayyolu,pizza today,Karma Karışık Pizza (Büyük),"39,90 TL"
27183,ankara,çayyolu,pizza today,Kavurmalı Pizza (Büyük),"39,90 TL"
27184,ankara,çayyolu,pizza today,Kumrum Pizza (Büyük),"38,90 TL"
27185,ankara,çayyolu,pizza today,Lor Peynirli Pizza (Büyük),"37,90 TL"
27186,ankara,çayyolu,pizza today,Mangal Ateşi Pizza (Büyük),"39,90 TL"
27187,ankara,çayyolu,pizza today,Mantarlı Pizza (Büyük),"37,90 TL"
27188,ankara,çayyolu,pizza today,Margherita Pizza (Büyük),"37,90 TL"
27189,ankara,çayyolu,pizza today,Mexican Cherry Pizza (Büyük),"39,90 TL"
27190,ankara,çayyolu,pizza today,Mexican Pizza (Büyük),"39,90 TL"
27191,ankara,çayyolu,pizza today,Peynir Sever Pizza (Büyük),"38,90 TL"
27192,ankara,çayyolu,pizza today,Sebzeden Pizza (Büyük),"37,90 TL"
27193,ankara,çayyolu,pizza today,Sosisli Pizza (Büyük),"37,90 TL"
27194,ankara,çayyolu,pizza today,Sucuklu Pizza (Büyük),"37,90 TL"
27195,ankara,çayyolu,pizza today,Ton Balıklı Pizza (Büyük),"38,90 TL"
27196,ankara,çayyolu,pizza today,Turkish Pizza (Büyük),"39,90 TL"
27197,ankara,çayyolu,pizza today,Acımtrak Pizza (Orta),"26,90 TL"
27198,ankara,çayyolu,pizza today,Dönerimo Pizza (Orta),"28,90 TL"
27199,ankara,çayyolu,pizza today,Hawaii Pizza (Orta),"27,90 TL"
27200,ankara,çayyolu,pizza today,BBQ Chicken Pizza (Orta),"27,90 TL"
27201,ankara,çayyolu,pizza today,Buffalo Chicken Pizza (Orta),"28,90 TL"
27202,ankara,çayyolu,pizza today,Çıtır Tavuklu Pizza (Orta),"27,90 TL"
27203,ankara,çayyolu,pizza today,Egeden Pizza (Orta),"26,90 TL"
27204,ankara,çayyolu,pizza today,Favori Pizza (Orta),"26,90 TL"
27205,ankara,çayyolu,pizza today,Italiano Pizza (Orta),"27,90 TL"
27206,ankara,çayyolu,pizza today,Karışık Pizza (Orta),"27,90 TL"
27207,ankara,çayyolu,pizza today,Karma Karışık Pizza (Orta),"28,90 TL"
27208,ankara,çayyolu,pizza today,Kavurmalı Pizza (Orta),"28,90 TL"
27209,ankara,çayyolu,pizza today,Kumrum Pizza (Orta),"27,90 TL"
27210,ankara,çayyolu,pizza today,Lor Peynirli Pizza (Orta),"26,90 TL"
27211,ankara,çayyolu,pizza today,Mangal Ateşi Pizza (Orta),"28,90 TL"
27212,ankara,çayyolu,pizza today,Mantarlı Pizza (Orta),"26,90 TL"
27213,ankara,çayyolu,pizza today,Margherita Pizza (Orta),"26,90 TL"
27214,ankara,çayyolu,pizza today,Mexican Cherry Pizza (Orta),"28,90 TL"
27215,ankara,çayyolu,pizza today,Mexican Pizza (Orta),"28,90 TL"
27216,ankara,çayyolu,pizza today,Peynir Sever Pizza (Orta),"27,90 TL"
27217,ankara,çayyolu,pizza today,Sebzeden Pizza (Orta),"26,90 TL"
27218,ankara,çayyolu,pizza today,Sosisli Pizza (Orta),"26,90 TL"
27219,ankara,çayyolu,pizza today,Sucuklu Pizza (Orta),"26,90 TL"
27220,ankara,çayyolu,pizza today,Ton Balıklı Pizza (Orta),"27,90 TL"
27221,ankara,çayyolu,pizza today,Turkish Pizza (Orta),"28,90 TL"
27222,ankara,çayyolu,pizza today,Dönerimo Pizza (Küçük),"23,90 TL"
27223,ankara,çayyolu,pizza today,Hawaii Pizza (Küçük),"22,90 TL"
